"","PREDDEG_factor","Control_factor","NPT4_COMBINE","DEP_STAT_PCT_IND","PAR_ED_PCT_1STGEN","MD_FAMINC","PCTPELL","PCTFLOAN","GRAD_DEBT_MDN","WDRAW_DEBT_MDN","APPL_SCH_PCT_GE2","MD_EARN_WNE_P6","MD_EARN_WNE_P10","RPY_3YR_RT_SUPP","CDR3"
"156277","Certificate-degree","Private For-profit",10457,0.702970297,0.4677419355,11775.03668,0.7245,0.0714,14000,5500,0.3762376238,12900,14600,0.4088072088,0.166
"437097","Bachelor's-degree","Private For-profit",14962.5,0.6112138016,0.547008547,35327.1388,0.0083,0.013,14000,2750,0.345323741,25000,30600,0.4088072088,0
"250744","Certificate-degree","Private For-profit",21780,0.7403547672,0.6017877739,12627.31432,0.9063,0.911,8456,4029,0.3696230599,18400,22000,0.2321181357,0.216
"153278","Bachelor's-degree","Private Nonprofit",13500,0.1967632027,0.3656509695,49692.85274,0.4821,0.9206,25250,8250,0.5988074957,29800,37700,0.6164199192,0.134
"478591","Certificate-degree","Private For-profit",15724,0.6251331203,0.4935897436,16862.274,0.664,0.832,9710.5,3274,0.4142705005,17200,20800,0.3342245989,0.146
"477996","Bachelor's-degree","Private For-profit",14962.5,0.9018231854,0.5223104298,14604.32372,0.7167,0.7667,30992,6273,0.384244926,27100,36100,0.3298819631,0.246
"142090","Bachelor's-degree","Private Nonprofit",17031,0.2517482517,0.5076923077,32791.25021,0.5888,0.5981,16750,5500,0.4195804196,21600,25500,0.6666666667,0.08
"454786","Certificate-degree","Private For-profit",9275,0.8125,0.5324459235,17105.15059,0.6598,0.9194,6333,6334,0.3051470588,25000,30600,0.3417721519,0.243
"219903","Certificate-degree","Private For-profit",19074,0.7118023788,0.5453029461,14117.05655,0.8059,0.8619,9020,3500,0.4954254346,17100,22500,0.1505427088,0.22
"240471","Bachelor's-degree","Public",13555,0.1346952909,0.2704639759,66342.6988,0.3336,0.6728,23647,6700,0.3909279778,31900,40200,0.8073308271,0.04
"241146","Certificate-degree","Private For-profit",6586,0.5762572135,0.5497771174,0,0.9883,0,14000,5500,0.1607584501,11800,15000,0.4088072088,0
"170240","Associate's-degree","Public",4650,0.5748438098,0.5503131166,11374.85687,0.5525,0.4566,14000,4613,0.56228484,22600,30200,0.2362575301,0.234
"445328","Certificate-degree","Private For-profit",15402,0.6678984972,0.616254417,14129.3245,0.5802,0.4846,9500,3500,0.3510716925,18800,23200,0.1470250779,0.293
"155292","Certificate-degree","Public",15807,0.6504922644,0.5034602076,18262.16381,0.4484,0.2639,9500,4750,0.452883263,25800,30100,0.3301967494,0.159
"207458","Bachelor's-degree","Private Nonprofit",25856,0.3349056604,0.2703045685,61296.57348,0.2054,0.4659,24375,11750,0.5589622642,33500,40100,0.7020648968,0.094
"456630","Bachelor's-degree","Private For-profit",31374,0.9124417741,0.5200258956,17006.54528,0.2931,0.3793,32639,6334,0.4833254574,36500,49200,0.2362218678,0.151
"17557302","NotClassified","Public",14962.5,0.3854992076,0.4625529911,17061.06531,0.5266,0.6008,5730,2865,0.4231378764,22200,25100,0.2701894317,0.245
"166708","Graduate-degree","Public",14962.5,0.6112138016,0.5076923077,16792.34321,0.5266,0.6008,12000,5500,0.4927536232,67700,213600,0.4088072088,0.021
"215628","Graduate-degree","Private Nonprofit",14962.5,0.6112138016,0.5076923077,19262.25746,0.5266,0.6008,14000,5500,0.4167031045,25000,30600,0.4088072088,0.111
"126076","Bachelor's-degree","Private Nonprofit",5967,0.6112138016,0.5076923077,34990.03516,0.5357,0,14000,5500,0.4167031045,25000,30600,0.4088072088,0
"418126","Associate's-degree","Private Nonprofit",30546,0.7475994513,0.4197530864,22986.34677,0.4271,0.6745,17354,8250,0.2606310014,26500,26500,0.5097192225,0.188
"204158","Certificate-degree","Public",7698,0.7565632458,0.5457063712,20998.02514,0.4144,0.4209,6840,3948,0.3794749403,31900,32100,0.5112359551,0.121
"454926","Certificate-degree","Private For-profit",17608,0.52,0.3425605536,18715.18649,0.4029,0.6771,13833,5833,0.5046153846,25000,30600,0.44,0.118
"148380","Associate's-degree","Public",5017,0.5223062875,0.540201005,20316.28476,0.33,0.0787,5250,2625,0.3652491521,23100,31200,0.4355108878,0.195
"196389","Associate's-degree","Private For-profit",19743,0.7342143906,0.4012096774,15889.71392,0.4874,0.823,20000,6089.5,0.3201174743,27500,31000,0.6207792208,0.096
"225070","Associate's-degree","Public",6290,0.6461100569,0.4924382147,19758.88034,0.4859,0.353,8000,3500,0.3368121442,27200,31200,0.4112021858,0.253
"147916","Associate's-degree","Public",5635,0.4317991632,0.4435562016,19947.11556,0.3474,0.244,8000,3500,0.440376569,24300,29600,0.4170575693,0.231
"198525","Certificate-degree","Private For-profit",9601,0.6896551724,0.5,9714.114397,0.8103,0.3621,9500,5500,0.4827586207,25000,13500,0.4088072088,0.437
"13012901","NotClassified","Private For-profit",14962.5,0.6504854369,0.5839416058,16455.5479,0.5266,0.6008,9365,3097.5,0.2746185853,19200,18500,0.368852459,0.204
"143181","Certificate-degree","Private For-profit",9546,0.5972222222,0.5641025641,13727.00584,0.5833,0.6528,9500,3750,0.4236111111,15400,16800,0.2032520325,0.415
"103954","Certificate-degree","Private For-profit",10684,0.7625,0.4090909091,6977.30867,0.5851,0.5851,5500,4750,0.4167031045,25000,16300,0.4088072088,0.212
"152309","Certificate-degree","Private For-profit",8101,0.6055555556,0.5696202532,10725.5569,0.7071,0.1919,14000,5500,0.3833333333,13600,14400,0.4565217391,0.154
"450465","Associate's-degree","Private For-profit",18476,0.6739969783,0.4702296281,17299.55724,0.8213,0.9414,23500,7667,0.5479268088,23000,27900,0.2594319009,0.268
"457952","Certificate-degree","Private For-profit",14930,0.4858044164,0.5574912892,29421.43305,0.4098,0.6754,8027,4750,0.3154574132,25000,30600,0.4088072088,0.142
"231174","Bachelor's-degree","Public",16146,0.0710197711,0.1433163675,78678.84574,0.2005,0.4883,21775,7000,0.7752341311,33900,43900,0.8557553957,0.025
"386153","Certificate-degree","Private Nonprofit",13065,0.6112138016,0.4843373494,25723.84523,0.6046,0,14000,5500,0.4167031045,16600,15000,0.4088072088,0
"455497","Certificate-degree","Private For-profit",12395,0.7077730403,0.5337056243,14186.94352,0.7759,0.806,9500,3957.5,0.4391603805,16300,20400,0.23,0.106
"180692","Bachelor's-degree","Public",8344,0.2389162562,0.4071146245,40299.03697,0.4577,0.6303,24250,9847.5,0.525862069,26600,30200,0.5946502058,0.126
"418612","Certificate-degree","Public",15032,0.6112138016,0.5076923077,22166.5724,0.5862,0.8276,14000,5500,0.4167031045,25000,30600,0.5789473684,0.128
"148256","Associate's-degree","Public",6052,0.484375,0.4857954545,19850.91938,0.2633,0.1157,7041,4000,0.321875,22200,26200,0.4612850082,0.29
"20627903","NotClassified","Private Nonprofit",14962.5,0.9651493599,0.543554007,52914.41936,0.5266,0.6008,17344.5,11500,0.3527738265,42300,39600,0.5317164179,0.075
"183859","Associate's-degree","Public",7142,0.3156852152,0.5128795812,29606.70967,0.2824,0.2062,9300,4500,0.3464793805,24100,33000,0.5166175852,0.205
"138691","Associate's-degree","Public",6995,0.4932339674,0.4636425804,24016.86004,0.5291,0.4875,11000,5500,0.5881545401,24400,30400,0.3106448311,0.194
"151829","Certificate-degree","Private For-profit",11570,0.3684210526,0.5346534653,34597.22549,0.386,0.5439,10000,5125,0.4912280702,15400,15200,0.4126984127,0.041
"476726","Certificate-degree","Private For-profit",16566,0.8039215686,0.5777777778,17270.39393,0.564,0.4929,8452.5,3500,0.4509803922,25000,30600,0.4088072088,0
"448628","Bachelor's-degree","Private For-profit",26093,0.612849162,0.5755860954,15354.7237,0.724,0.7919,43487,6866,0.3921787709,25600,27800,0.1690490988,0.245
"15631002","NotClassified","Private For-profit",14962.5,0.7735849057,0.5831622177,11734.99628,0.5266,0.6008,10667,4750,0.4185248714,14800,16400,0.1485587583,0.131
"196583","Bachelor's-degree","Private Nonprofit",7350,0.6112138016,0.5076923077,30065.0668,0.345,0,14000,5500,0.4167031045,25000,30600,0.4088072088,0
"228343","Bachelor's-degree","Private Nonprofit",24103,0.1074074074,0.2228682171,63077.62659,0.2635,0.5197,25000,7375,0.7722222222,32100,47400,0.83125,0.05
"450252","Associate's-degree","Private For-profit",22703,0.765962788,0.52367531,17679.94098,0.814,0.8501,18772,6334,0.297031896,29300,38800,0.2615683733,0.286
"102313","Certificate-degree","Public",5309,0.5583468395,0.5131048387,14333.72246,0.6508,0,14000,5500,0.4059967585,18800,23100,0.4088072088,0
"105349","Certificate-degree","Public",7069,0.6398631309,0.4989539749,16206.49498,0.3207,0,14000,5500,0.3353293413,16700,23800,0.4088072088,0
"428268","Bachelor's-degree","Private For-profit",21024,0.6795601062,0.4961274543,16074.63732,0.5313,0.5938,9791,5736,0.5390053632,32500,37000,0.3214673323,0.158
"470870","Associate's-degree","Private For-profit",22170,0.765962788,0.52367531,17679.94098,0.6338,0.7324,18772,6334,0.297031896,29300,38800,0.2615683733,0.286
"178369","Bachelor's-degree","Private Nonprofit",14803,0.1505791506,0.4239482201,35648.59426,0.4594,0.6464,25930.5,5500,0.7084942085,26000,34700,0.448156682,0.152
"450395","Certificate-degree","Private For-profit",15006,0.4606205251,0.4621621622,25271.69741,0.3766,0.4892,9500,4750,0.3914081146,20500,30600,0.5352697095,0.045
"447634","Certificate-degree","Private For-profit",14831,0.6130628402,0.5635074146,19902.1828,0.5816,0.5292,9500,4414.5,0.3666501732,21800,30800,0.34384273,0.228
"23693902","NotClassified","Public",14962.5,0.276159853,0.3378594249,48104.31762,0.5266,0.6008,20183.5,8750,0.6108406063,37900,47500,0.7456494501,0.058
"376631","Certificate-degree","Private For-profit",11988,0.5614035088,0.5076923077,21117.09262,0.6889,0.5556,8167,5500,0.4912280702,25000,30600,0.3414634146,0.172
"437848","Bachelor's-degree","Private For-profit",23943,0.5375454846,0.6012155213,19601.87985,0.776,0.8456,38514.5,8063.5,0.3853787628,26300,34700,0.2570656892,0.203
"445780","Certificate-degree","Private For-profit",12835,0.7746478873,0.5076923077,9026.072055,0.7303,0.618,20000,5500,0.4167031045,25000,30600,0.3333333333,0.25
"459301","Certificate-degree","Private For-profit",11895,0.5065502183,0.504950495,22440.18034,0.4071,0.5889,11450,4750,0.3493449782,25000,30600,0.4088072088,0
"383084","Certificate-degree","Public",5263,0.7069943289,0.6588541667,13976.20461,0.0621,0,14000,5500,0.3950850662,22600,22900,0.4088072088,0
"175120","Certificate-degree","Private Nonprofit",5125,0.8647686833,0.5190217391,0,0.554,0,14000,5500,0.3362989324,13100,14200,0.4088072088,0
"456667","Associate's-degree","Private For-profit",29769,0.9124417741,0.5200258956,17006.54528,0.2372,0.2895,32639,6334,0.4833254574,36500,49200,0.2362218678,0.151
"213826","Bachelor's-degree","Private Nonprofit",20945,0.1091219096,0.3324275362,69729.23271,0.3619,0.7676,27000,9029,0.6658141517,29600,36400,0.6827262045,0.058
"203748","Associate's-degree","Public",3116,0.5808383234,0.5490601504,17571.41044,0.493,0.2546,11287,4189,0.3895452339,24100,28200,0.3787878788,0.157
"218159","Certificate-degree","Private For-profit",13559,0.6942857143,0.6109215017,13648.79184,0.6019,0.5556,8692,4721,0.4971428571,14300,30600,0.1166666667,0.078
"164678","Certificate-degree","Private For-profit",25873,0.841509434,0.5774647887,16956.49375,0.4086,0.3978,8507,4231,0.1886792453,35500,39700,0.41015625,0.274
"122597","Bachelor's-degree","Public",13718,0.325819135,0.4289949903,29001.88899,0.4131,0.3977,16500,10726,0.7156837047,34300,47200,0.6208254568,0.076
"178341","Bachelor's-degree","Public",8377,0.416828479,0.4551005747,30111.35211,0.5977,0.6588,19500,5500,0.4899676375,26800,33000,0.5274671852,0.141
"187897","Bachelor's-degree","Public",9915,0.4438021837,0.504491018,24344.42927,0.574,0.4149,12500,5780,0.6262042389,26300,35200,0.4846796657,0.111
"114044","Certificate-degree","Private For-profit",26010,0.494047619,0.4888888889,17626.72889,0.675,0.725,14000,5500,0.4047619048,19900,14000,0.4603174603,0.237
"155715","Associate's-degree","Public",5990,0.5479302832,0.4564943253,32666.53901,0.3878,0.393,6500,3500,0.4967320261,30200,31100,0.6268656716,0.135
"155487","Associate's-degree","Public",12408,0.5882352941,0.4003189793,28358.64883,0.4796,0.5696,9390,4750,0.4175035868,36800,35900,0.6694214876,0.09
"444103","Graduate-degree","Private Nonprofit",14962.5,0.6112138016,0.5076923077,19262.25746,0.5266,0.6008,14000,5500,0.4167031045,25000,30600,0.4088072088,0
"181145","Associate's-degree","Private Nonprofit",14962.5,0.6112138016,0.5076923077,17534.53113,0.3158,0.6842,14000,5500,0.4167031045,25000,30600,0.46875,0.105
"457439","Certificate-degree","Private For-profit",11650,0.6879432624,0.5338983051,17413.01473,0.869,0.881,13000,5136,0.4326241135,25000,30600,0.4088072088,0
"206482","Certificate-degree","Private For-profit",16457,0.8449612403,0.6120218579,8979.686515,0.9879,0.994,13696.5,4750,0.3953488372,16500,17400,0.1779141104,0.031
"246354","Associate's-degree","Public",3733,0.4171078295,0.6546391753,19943.44534,0.3419,0.0421,7000,4500,0.5541933686,23700,27800,0.4032,0.183
"45316301","NotClassified","Private For-profit",14962.5,0.9124417741,0.5200258956,17006.54528,0.5266,0.6008,32639,6334,0.4833254574,36500,49200,0.2362218678,0.151
"418870","Certificate-degree","Private For-profit",21273,0.6760310819,0.5645549318,14834.75812,0.5532,0.5674,9500,4530,0.3556485356,21000,24700,0.2217611803,0.144
"107877","Bachelor's-degree","Private Nonprofit",10690,0.1797752809,0.4867256637,35031.4639,0.5363,0.6374,19917,5500,0.5926966292,25600,32200,0.6030534351,0.077
"206172","Certificate-degree","Public",3292,0.8769230769,0.6460176991,8231.508149,0.3041,0,14000,5500,0.2384615385,25000,30600,0.4088072088,0
"159443","Certificate-degree","Public",6324,0.6310240964,0.6239252336,12602.69659,0.5383,0,14000,5500,0.2981927711,25000,30600,0.4088072088,0.184
"456135","Certificate-degree","Private For-profit",11782,0.6882716049,0.4415584416,11322.55669,0.72,0.6756,13597,6275,0.4290123457,21000,23000,0.303030303,0.161
"13508101","NotClassified","Private Nonprofit",14962.5,0.7350929233,0.4840046532,21670.6164,0.5266,0.6008,24749,8946,0.4430655609,27100,29700,0.2745531601,0.186
"190576","Bachelor's-degree","Public",14962.5,0.9213893967,0.3962264151,26529.92156,0.2656,0.209,12072.5,5048,0.5100548446,41100,30600,0.55,0.059
"441256","Certificate-degree","Private For-profit",7585,0.6008064516,0.5069124424,14752.7775,0.7405,0.7176,4877,3665,0.3467741935,15400,30600,0.4285714286,0.183
"194499","Associate's-degree","Private For-profit",11360,0.5608740895,0.8892171344,13159.59133,0.8495,0.8003,13268.5,3387,0.1508844953,15700,22400,0.3723986857,0.005
"15098708","NotClassified","Public",14962.5,0.7014581607,0.5661788364,17962.12899,0.5266,0.6008,8628.5,4750,0.3753355427,25400,29400,0.3160254016,0.216
"204963","Certificate-degree","Private For-profit",8262,0.7192982456,0.6868686869,10656.88386,0.6176,0.5824,16722.5,5858,0.3947368421,12200,30600,0.1875,0.25
"201681","Certificate-degree","Private Nonprofit",14363,0.8502994012,0.5625,18453.2304,0.5746,0.6022,9450,4125,0.4850299401,33900,40100,0.6964285714,0.1
"241720","Associate's-degree","Public",3085,0.4177101968,0.4324618736,8339.449448,0.8899,0,14000,5500,0.3094812165,17300,22700,0.4088072088,0
"218335","Bachelor's-degree","Public",14962.5,0.9253012048,0.1519302615,4512.49255,0.1465,0.899,3000,2500,0.1819277108,69400,79400,0.8129496403,0.009
"158325","Certificate-degree","Private Nonprofit",14962.5,0.7283950617,0.5076923077,30010.27468,0.3696,0.5435,19250,4313,0.5802469136,47600,48700,0.7448979592,0.05
"211608","Bachelor's-degree","Public",13341,0.2130584192,0.4907010014,23760.81227,0.7853,0.8826,31303,9500,0.7869415808,21600,29500,0.2134670487,0.282
"131061","Certificate-degree","Private For-profit",15502,0.5454545455,0.5486111111,23183.65738,0.3707,0.3512,9500,4644,0.4060606061,17300,22500,0.3710691824,0.056
"138594","Certificate-degree","Private For-profit",23955,0.708461802,0.6089185033,10572.80863,0.9184,0.9984,9500,4750,0.2867420349,15900,20400,0.0976688103,0.166
"214041","Bachelor's-degree","Public",16620,0.1559888579,0.3925722146,62950.87393,0.3009,0.6856,24824,7500,0.5933147632,31900,42900,0.7600820232,0.052
"159568","Bachelor's-degree","Private Nonprofit",11158,0.22899729,0.396731055,41955.77085,0.5422,0.8155,20000,7500,0.5433604336,34600,39100,0.6056034483,0.121
"211644","Bachelor's-degree","Public",15297,0.2057335582,0.4297337278,52280.10915,0.3964,0.711,25000,6500,0.3878583474,27300,36800,0.6597167585,0.092
"15178602","NotClassified","Private Nonprofit",14962.5,0.4754689755,0.3652037618,46651.00994,0.5266,0.6008,29500,9500,0.5909090909,38900,42300,0.5308498254,0.06
"451538","Certificate-degree","Private For-profit",13119,0.7783783784,0.5519480519,6581.510873,0.3978,0.3978,9500,8362.5,0.4702702703,25000,30600,0.4088072088,0.472
"180522","Bachelor's-degree","Public",13734,0.4621118012,0.3638850889,28260.82291,0.5414,0.6424,14959,5500,0.4658385093,31000,33400,0.6241134752,0.13
"366340","Associate's-degree","Public",9409,0.6428571429,0.2774193548,4558.144649,0.4561,0,14000,5500,0.2582417582,13500,16400,0.4088072088,0
"459985","Certificate-degree","Private For-profit",25430,0.6800663075,0.6849315068,13043.45673,0.8364,0.6694,8565,3357,0.2565271446,16400,19800,0.1833333333,0.29
"216296","Associate's-degree","Public",5202,0.2102351314,0.4921383648,34311.58492,0.5489,0.4976,10375,3821,0.2863070539,32200,38900,0.7626582278,0.159
"146825","Bachelor's-degree","Private Nonprofit",15870,0.2177589852,0.4893617021,33071.25737,0.5985,0.8175,29500,8615.5,0.6236786469,27900,37300,0.6466346154,0.164
"141468","Associate's-degree","Private For-profit",19667,0.6491689361,0.5398195876,15592.36556,0.7355,0.8524,21000,6227.5,0.3037843929,25600,35000,0.3189001264,0.097
"107743","Certificate-degree","Public",4839,0.5059055118,0.7328767123,17699.53891,0.435,0,14000,5500,0.2559055118,17600,22000,0.4088072088,0
"441371","Certificate-degree","Private For-profit",21725,0.8968518787,0.5986222587,13548.89068,0.7641,0.8319,10531,3964,0.3628802166,21200,25500,0.1912980942,0.182
"200022","Associate's-degree","Public",8207,0.3590437528,0.3157894737,45570.18221,0.2653,0.4303,12000,5500,0.3211547136,36500,38400,0.7274119449,0.063
"246017","Certificate-degree","Public",11649,0.6473988439,0.6875,15118.4533,0.1306,0,14000,5500,0.3179190751,23600,25800,0.4088072088,0
"451060","Bachelor's-degree","Private For-profit",19361,0.375,0.3726708075,21387.89212,0.6938,0.8062,40562.5,14125,0.4479166667,25000,30600,0.4102564103,0.104
"449904","Certificate-degree","Private For-profit",15164,0.6708333333,0.5607685433,13036.935,0.594,0.566,14350,5221,0.3227564103,14700,18900,0.1886792453,0.324
"457466","Certificate-degree","Private For-profit",10302,0.8613861386,0.5060240964,14799.14006,0.4608,0.4216,16500,5125,0.3762376238,25000,30600,0.4088072088,0.5
"137032","Bachelor's-degree","Private Nonprofit",16969,0.8064884624,0.490530303,26610.00235,0.4662,0.5554,21875,7125,0.5269591044,35700,42100,0.4029635728,0.115
"476683","Certificate-degree","Private For-profit",23226,0.8869257951,0.4894514768,19121.70756,0.8973,0.8973,10060,4750,0.703180212,25000,30600,0.4088072088,0
"243498","Graduate-degree","Private Nonprofit",14962.5,0.6112138016,0.5076923077,19262.25746,0.5266,0.6008,14000,5500,0.4167031045,25000,30600,0.4088072088,0
"111896","Associate's-degree","Public",6037,0.7113884555,0.5487077535,13008.1307,0.1718,0,14000,5500,0.3658346334,20200,25900,0.2844036697,0.266
"171128","Bachelor's-degree","Public",14960,0.079245283,0.2292682927,73740.83399,0.264,0.6041,26000,6500,0.5528301887,49700,61400,0.8308038224,0.05
"14082701","NotClassified","Private For-profit",14962.5,0.7142857143,0.2429149798,28524.03851,0.5266,0.6008,9500,5500,0.3345864662,58400,54200,0.6972477064,0.063
"458496","Associate's-degree","Private For-profit",27315,0.3848389441,0.3880597015,23464.0917,0.5667,0.6557,27722,6334,0.4076047469,23500,30500,0.2805274876,0.235
"169910","Bachelor's-degree","Public",13991,0.3123273254,0.3688407861,42274.22564,0.4192,0.676,24891,8250,0.569530325,34700,41500,0.6268396592,0.101
"443739","Associate's-degree","Private For-profit",14962.5,0.6592270005,0.5583333333,16572.508,0.5927,0.7219,10171,3272.5,0.3598258029,20500,21900,0.3319856244,0.107
"241739","Bachelor's-degree","Private Nonprofit",8770,0.4037396122,0.4443336657,9761.940405,0.9354,0.3216,5054,2250,0.2512696214,15500,18900,0.3925805137,0.175
"185262","Bachelor's-degree","Public",20125,0.3213830465,0.4617486339,37954.77493,0.4195,0.6195,22086,9500,0.5826959847,33700,45500,0.5615264798,0.086
"430351","Associate's-degree","Private For-profit",21421,0.765962788,0.52367531,17679.94098,0.6761,0.8324,18772,6334,0.297031896,29300,38800,0.2615683733,0.286
"193052","Bachelor's-degree","Private Nonprofit",6579,0.8390804598,0.6666666667,12453.24031,0.3475,0,14000,5500,0.4167031045,10600,30600,0.4088072088,0
"160940","Associate's-degree","Private For-profit",14482,0.9182636501,0.5403520069,17222.63754,0.6787,0.439,26048,7834,0.4926739526,25800,33400,0.2080610208,0.262
"461704","Certificate-degree","Private For-profit",6502,0.5362318841,0.5543478261,17579.3188,0.4856,0.4409,6500,3167,0.270531401,25000,30600,0.4088072088,0
"107363","Certificate-degree","Private For-profit",10145,0.6790123457,0.661971831,13896.71619,0.5619,0.2571,14000,5500,0.4814814815,25000,30600,0.4088072088,0.105
"480019","Certificate-degree","Private For-profit",14962.5,0.8857142857,0.6478873239,14563.11248,0,0,14000,5500,0.4167031045,25000,30600,0.4088072088,0
"188340","Associate's-degree","Private Nonprofit",19664,0.3545663853,0.4690522244,21696.70331,0.6412,0.6947,22000,9500,0.4351496546,37100,48700,0.465266559,0.208
"417178","Certificate-degree","Public",6925,0.6112138016,0.5,23834.57088,0.55,0,14000,5500,0.4761904762,25000,30600,0.4088072088,0
"234216","Associate's-degree","Private For-profit",17094,0.7915742794,0.5743440233,10295.63518,0.7778,0.8756,20000,9817.5,0.376940133,27300,30600,0.1933497537,0.316
"450085","Bachelor's-degree","Private For-profit",28152,0.3848389441,0.3880597015,23464.0917,0.6082,0.8557,27722,6334,0.4076047469,23500,30500,0.2805274876,0.235
"155520","Bachelor's-degree","Private Nonprofit",18707,0.565135895,0.3645621181,52287.95715,0.3442,0.6935,16666,8791,0.473289597,35300,39500,0.6891064871,0.078
"44098902","NotClassified","Private For-profit",14962.5,0.7602739726,0.5734406439,10345.17316,0.5266,0.6008,13000,6206,0.3181126332,14800,16800,0.0918287938,0.268
"154493","Bachelor's-degree","Private Nonprofit",17090,0.7595092025,0.4592123769,31898.9439,0.2715,0.4244,20500,7700,0.4665644172,35900,40700,0.5750605327,0.099
"179964","Bachelor's-degree","Private Nonprofit",19958,0.2307692308,0.3652694611,58165.12136,0.3413,0.6635,17995,6500,0.469043152,29700,34500,0.65,0.053
"381945","Certificate-degree","Private Nonprofit",12621,0.8343558282,0.6284760845,0,0.9264,0.1871,6372,3500,0.1393514461,17900,21200,0.5580736544,0.158
"183488","Certificate-degree","Private For-profit",10672,0.7313253012,0.6288,23908.3295,0.3829,0.4427,8120,5500,0.3337349398,33500,27300,0.4108527132,0.1
"214272","Bachelor's-degree","Private Nonprofit",23350,0.2089646465,0.4425651868,51755.89611,0.3921,0.7891,26189,9500,0.5972222222,32600,39500,0.6086175943,0.093
"440110","Certificate-degree","Private For-profit",14962.5,0.7600298563,0.5519005848,12117.48741,0.5822,0.7136,11677,3907.5,0.4278783355,22600,27800,0.2894164552,0.122
"417503","Certificate-degree","Private For-profit",16275,0.5155279503,0.4333333333,23941.93572,0.4116,0.5773,9833,4750,0.4316770186,14500,19400,0.4459459459,0.11
"187134","Bachelor's-degree","Public",21279,0.0426243209,0.2258064516,101821.571,0.1814,0.5003,21500,7750,0.7212703719,45100,56000,0.8495468278,0.028
"220251","Certificate-degree","Public",10252,0.6806451613,0.7049180328,15277.14869,0.5982,0,14000,5500,0.2709677419,22600,27200,0.4088072088,0
"181303","Associate's-degree","Public",7569,0.6529475983,0.4860387442,19601.59807,0.3649,0.2068,6399,2674,0.3840611354,24700,28500,0.450188476,0.176
"155052","Certificate-degree","Public",16049,0.567839196,0.4959677419,27555.16637,0.616,0.64,9500,7779,0.2998324958,29300,28300,0.4408602151,0.206
"198233","Associate's-degree","Public",6810,0.5087719298,0.5470692718,21882.57257,0.443,0.1026,8499,3668,0.3587159388,23900,26300,0.5687732342,0.121
"459851","Associate's-degree","Private For-profit",20504,0.8527014439,0.5206295194,18063.48579,0.5618,0.4101,18301,5895.5,0.5207265952,28600,42300,0.3306955435,0.174
"204060","Associate's-degree","Private For-profit",20822,0.7335135135,0.6101195633,15222.72527,0.9239,0.8648,17264,4750,0.4197297297,21100,26700,0.3330638642,0.187
"445832","Certificate-degree","Private For-profit",13047,0.88,0.6258992806,9952.157483,1,0.8216,10617,4750,0.3866666667,18600,18100,0.14571949,0.131
"179539","Associate's-degree","Public",6915,0.5355736414,0.5334549878,21797.77931,0.5719,0.4291,9766.5,4500,0.3693882909,23300,28900,0.4233378562,0.239
"455099","Graduate-degree","Private Nonprofit",14962.5,0.6112138016,0.5076923077,19262.25746,0.5266,0.6008,14000,5500,0.4167031045,25000,30600,0.4088072088,0
"153366","Bachelor's-degree","Private Nonprofit",13564,0.3574468085,0.3777267509,48330.35499,0.3942,0.6922,25000,8194,0.5574468085,28900,36300,0.6215846995,0.109
"126854","Certificate-degree","Private For-profit",13062,0.7211538462,0.5479452055,9138.166047,0.8365,0.7404,17070,6831,0.4423076923,16100,22400,0.1777777778,0.256
"181330","Bachelor's-degree","Private Nonprofit",18595,0.1414634146,0.3228346457,60005.26871,0.4757,0.852,21125,9000,0.6304878049,33300,40500,0.7431578947,0.051
"452009","Certificate-degree","Private For-profit",12624,0.390625,0.5076923077,32858.6414,0.37,0.61,10165,5500,0.4167031045,25000,30600,0.4088072088,0.096
"475024","Certificate-degree","Private For-profit",17706,0.5925925926,0.6276276276,16556.13816,0.7994,0.8832,9500,4051,0.2962962963,25200,30400,0.3884892086,0.129
"114813","Bachelor's-degree","Private Nonprofit",16138,0.6081780538,0.4516327788,32684.02462,0.5988,0.7464,18750,12187,0.602484472,29800,38200,0.6097804391,0.072
"443474","Bachelor's-degree","Private For-profit",18970,0.9178236634,0.5399317561,16576.05959,0.6778,0.7495,29213,5500,0.3939029156,33400,51100,0.2638079401,0.26
"182661","Bachelor's-degree","Private For-profit",27459,0.2427616927,0.3357843137,60336.64904,0.3519,0.8349,27000,5500,0.5924276169,37000,50500,0.698156682,0.107
"406486","Certificate-degree","Private For-profit",13863,0.76,0.5076923077,28633.61385,0.5195,0.7143,8125.5,5500,0.42,14600,20800,0.6324786325,0.102
"128498","Bachelor's-degree","Private Nonprofit",25155,0.5839002268,0.4853963839,38835.26197,0.5175,0.9052,27591.5,9500,0.4909297052,42400,52100,0.4463390171,0.085
"11508306","NotClassified","Private Nonprofit",14962.5,0.9104046243,0.4983606557,44037.97077,0.5266,0.6008,23532,10500,0.4682080925,64200,65600,0.5972222222,0.049
"104911","Certificate-degree","Private For-profit",14667,0.664160401,0.515625,13449.35733,0.6552,0.6805,9996.5,3750,0.4310776942,15600,22200,0.4243697479,0.162
"235103","Certificate-degree","Public",6888,0.644290405,0.4320451585,17942.31092,0.1989,0.1138,11875,5673,0.4688070047,27800,34300,0.4391752577,0.203
"479549","Associate's-degree","Private For-profit",19937,0.765962788,0.52367531,17679.94098,0.6522,0.6304,18772,6334,0.297031896,29300,38800,0.2615683733,0.286
